,period,respondent,respondent-name,fueltype,type-name,value,value-units
366,2023-01-16T06,CAL,California,SUN,Solar,-33,megawatthours
367,2023-01-16T07,CAL,California,SUN,Solar,-33,megawatthours
368,2023-01-16T08,CAL,California,SUN,Solar,-33,megawatthours
369,2023-01-16T09,CAL,California,SUN,Solar,-33,megawatthours
370,2023-01-16T10,CAL,California,SUN,Solar,-33,megawatthours
371,2023-01-16T11,CAL,California,SUN,Solar,-33,megawatthours
372,2023-01-16T12,CAL,California,SUN,Solar,-34,megawatthours
373,2023-01-16T13,CAL,California,SUN,Solar,-34,megawatthours
374,2023-01-16T14,CAL,California,SUN,Solar,-34,megawatthours
375,2023-01-16T15,CAL,California,SUN,Solar,-34,megawatthours
376,2023-01-16T16,CAL,California,SUN,Solar,433,megawatthours
377,2023-01-16T17,CAL,California,SUN,Solar,3862,megawatthours
378,2023-01-16T18,CAL,California,SUN,Solar,7148,megawatthours
379,2023-01-16T19,CAL,California,SUN,Solar,8049,megawatthours
380,2023-01-16T20,CAL,California,SUN,Solar,7894,megawatthours
381,2023-01-16T21,CAL,California,SUN,Solar,8157,megawatthours
382,2023-01-16T22,CAL,California,SUN,Solar,6951,megawatthours
383,2023-01-16T23,CAL,California,SUN,Solar,6309,megawatthours
384,2023-01-17T00,CAL,California,SUN,Solar,3851,megawatthours
385,2023-01-17T01,CAL,California,SUN,Solar,864,megawatthours
386,2023-01-17T02,CAL,California,SUN,Solar,33,megawatthours
387,2023-01-17T03,CAL,California,SUN,Solar,0,megawatthours
388,2023-01-17T04,CAL,California,SUN,Solar,-38,megawatthours
389,2023-01-17T05,CAL,California,SUN,Solar,-40,megawatthours
390,2023-01-17T06,CAL,California,SUN,Solar,-41,megawatthours
391,2023-01-17T07,CAL,California,SUN,Solar,-41,megawatthours
392,2023-01-17T08,CAL,California,SUN,Solar,-41,megawatthours
393,2023-01-17T09,CAL,California,SUN,Solar,-42,megawatthours
394,2023-01-17T10,CAL,California,SUN,Solar,-41,megawatthours
395,2023-01-17T11,CAL,California,SUN,Solar,-42,megawatthours
396,2023-01-17T12,CAL,California,SUN,Solar,-42,megawatthours
397,2023-01-17T13,CAL,California,SUN,Solar,-43,megawatthours
398,2023-01-17T14,CAL,California,SUN,Solar,-44,megawatthours
399,2023-01-17T15,CAL,California,SUN,Solar,-22,megawatthours
400,2023-01-17T16,CAL,California,SUN,Solar,1879,megawatthours
401,2023-01-17T17,CAL,California,SUN,Solar,6868,megawatthours
402,2023-01-17T18,CAL,California,SUN,Solar,9371,megawatthours
403,2023-01-17T19,CAL,California,SUN,Solar,9561,megawatthours
404,2023-01-17T20,CAL,California,SUN,Solar,9699,megawatthours
405,2023-01-17T21,CAL,California,SUN,Solar,9340,megawatthours
406,2023-01-17T22,CAL,California,SUN,Solar,9041,megawatthours
407,2023-01-17T23,CAL,California,SUN,Solar,8774,megawatthours
