,period,respondent,respondent-name,fueltype,type-name,value,value-units
259,2023-01-11T19,CAL,California,WND,Wind,1021,megawatthours
260,2023-01-11T20,CAL,California,WND,Wind,858,megawatthours
261,2023-01-11T21,CAL,California,WND,Wind,831,megawatthours
262,2023-01-11T22,CAL,California,WND,Wind,1082,megawatthours
263,2023-01-11T23,CAL,California,WND,Wind,1243,megawatthours
264,2023-01-12T00,CAL,California,WND,Wind,1240,megawatthours
265,2023-01-12T01,CAL,California,WND,Wind,1381,megawatthours
266,2023-01-12T02,CAL,California,WND,Wind,1553,megawatthours
267,2023-01-12T03,CAL,California,WND,Wind,1564,megawatthours
268,2023-01-12T04,CAL,California,WND,Wind,1565,megawatthours
269,2023-01-12T05,CAL,California,WND,Wind,1614,megawatthours
270,2023-01-12T06,CAL,California,WND,Wind,1540,megawatthours
271,2023-01-12T07,CAL,California,WND,Wind,1437,megawatthours
272,2023-01-12T08,CAL,California,WND,Wind,1301,megawatthours
273,2023-01-12T09,CAL,California,WND,Wind,1206,megawatthours
274,2023-01-12T10,CAL,California,WND,Wind,1226,megawatthours
275,2023-01-12T11,CAL,California,WND,Wind,1176,megawatthours
276,2023-01-12T12,CAL,California,WND,Wind,1104,megawatthours
277,2023-01-12T13,CAL,California,WND,Wind,949,megawatthours
278,2023-01-12T14,CAL,California,WND,Wind,1014,megawatthours
279,2023-01-12T15,CAL,California,WND,Wind,1040,megawatthours
280,2023-01-12T16,CAL,California,WND,Wind,1022,megawatthours
281,2023-01-12T17,CAL,California,WND,Wind,991,megawatthours
282,2023-01-12T18,CAL,California,WND,Wind,870,megawatthours
283,2023-01-12T19,CAL,California,WND,Wind,880,megawatthours
284,2023-01-12T20,CAL,California,WND,Wind,952,megawatthours
285,2023-01-12T21,CAL,California,WND,Wind,941,megawatthours
286,2023-01-12T22,CAL,California,WND,Wind,819,megawatthours
287,2023-01-12T23,CAL,California,WND,Wind,706,megawatthours
288,2023-01-13T00,CAL,California,WND,Wind,584,megawatthours
289,2023-01-13T01,CAL,California,WND,Wind,705,megawatthours
290,2023-01-13T02,CAL,California,WND,Wind,740,megawatthours
291,2023-01-13T03,CAL,California,WND,Wind,764,megawatthours
292,2023-01-13T04,CAL,California,WND,Wind,745,megawatthours
293,2023-01-13T05,CAL,California,WND,Wind,696,megawatthours
294,2023-01-13T06,CAL,California,WND,Wind,625,megawatthours
295,2023-01-13T07,CAL,California,WND,Wind,744,megawatthours
296,2023-01-13T08,CAL,California,WND,Wind,716,megawatthours
297,2023-01-13T09,CAL,California,WND,Wind,583,megawatthours
298,2023-01-13T10,CAL,California,WND,Wind,542,megawatthours
299,2023-01-13T11,CAL,California,WND,Wind,472,megawatthours
300,2023-01-13T12,CAL,California,WND,Wind,473,megawatthours
301,2023-01-13T13,CAL,California,WND,Wind,492,megawatthours
302,2023-01-13T14,CAL,California,WND,Wind,487,megawatthours
303,2023-01-13T15,CAL,California,WND,Wind,650,megawatthours
304,2023-01-13T16,CAL,California,WND,Wind,745,megawatthours
305,2023-01-13T17,CAL,California,WND,Wind,780,megawatthours
306,2023-01-13T18,CAL,California,WND,Wind,704,megawatthours
307,2023-01-13T19,CAL,California,WND,Wind,586,megawatthours
308,2023-01-13T20,CAL,California,WND,Wind,668,megawatthours
309,2023-01-13T21,CAL,California,WND,Wind,684,megawatthours
310,2023-01-13T22,CAL,California,WND,Wind,719,megawatthours
311,2023-01-13T23,CAL,California,WND,Wind,689,megawatthours
312,2023-01-14T00,CAL,California,WND,Wind,576,megawatthours
313,2023-01-14T01,CAL,California,WND,Wind,709,megawatthours
314,2023-01-14T02,CAL,California,WND,Wind,812,megawatthours
315,2023-01-14T03,CAL,California,WND,Wind,747,megawatthours
316,2023-01-14T04,CAL,California,WND,Wind,848,megawatthours
317,2023-01-14T05,CAL,California,WND,Wind,858,megawatthours
318,2023-01-14T06,CAL,California,WND,Wind,849,megawatthours
319,2023-01-14T07,CAL,California,WND,Wind,1010,megawatthours
320,2023-01-14T08,CAL,California,WND,Wind,970,megawatthours
321,2023-01-14T09,CAL,California,WND,Wind,1040,megawatthours
322,2023-01-14T10,CAL,California,WND,Wind,1221,megawatthours
323,2023-01-14T11,CAL,California,WND,Wind,1411,megawatthours
324,2023-01-14T12,CAL,California,WND,Wind,1357,megawatthours
325,2023-01-14T13,CAL,California,WND,Wind,1316,megawatthours
326,2023-01-14T14,CAL,California,WND,Wind,1577,megawatthours
327,2023-01-14T15,CAL,California,WND,Wind,1819,megawatthours
328,2023-01-14T16,CAL,California,WND,Wind,1690,megawatthours
329,2023-01-14T17,CAL,California,WND,Wind,1493,megawatthours
330,2023-01-14T18,CAL,California,WND,Wind,1511,megawatthours
331,2023-01-14T19,CAL,California,WND,Wind,1501,megawatthours
332,2023-01-14T20,CAL,California,WND,Wind,1770,megawatthours
333,2023-01-14T21,CAL,California,WND,Wind,2280,megawatthours
334,2023-01-14T22,CAL,California,WND,Wind,2457,megawatthours
335,2023-01-14T23,CAL,California,WND,Wind,2519,megawatthours
336,2023-01-15T00,CAL,California,WND,Wind,2215,megawatthours
337,2023-01-15T01,CAL,California,WND,Wind,1988,megawatthours
338,2023-01-15T02,CAL,California,WND,Wind,2173,megawatthours
339,2023-01-15T03,CAL,California,WND,Wind,2461,megawatthours
340,2023-01-15T04,CAL,California,WND,Wind,2412,megawatthours
341,2023-01-15T05,CAL,California,WND,Wind,2473,megawatthours
342,2023-01-15T06,CAL,California,WND,Wind,2553,megawatthours
343,2023-01-15T07,CAL,California,WND,Wind,2740,megawatthours
344,2023-01-15T08,CAL,California,WND,Wind,2744,megawatthours
345,2023-01-15T09,CAL,California,WND,Wind,2836,megawatthours
346,2023-01-15T10,CAL,California,WND,Wind,3057,megawatthours
347,2023-01-15T11,CAL,California,WND,Wind,3343,megawatthours
348,2023-01-15T12,CAL,California,WND,Wind,3189,megawatthours
349,2023-01-15T13,CAL,California,WND,Wind,3203,megawatthours
350,2023-01-15T14,CAL,California,WND,Wind,3186,megawatthours
351,2023-01-15T15,CAL,California,WND,Wind,3498,megawatthours
352,2023-01-15T16,CAL,California,WND,Wind,3377,megawatthours
353,2023-01-15T17,CAL,California,WND,Wind,2965,megawatthours
354,2023-01-15T18,CAL,California,WND,Wind,2624,megawatthours
355,2023-01-15T19,CAL,California,WND,Wind,2482,megawatthours
356,2023-01-15T20,CAL,California,WND,Wind,2428,megawatthours
357,2023-01-15T21,CAL,California,WND,Wind,2495,megawatthours
358,2023-01-15T22,CAL,California,WND,Wind,2263,megawatthours
359,2023-01-15T23,CAL,California,WND,Wind,2056,megawatthours
360,2023-01-16T00,CAL,California,WND,Wind,1987,megawatthours
361,2023-01-16T01,CAL,California,WND,Wind,2049,megawatthours
362,2023-01-16T02,CAL,California,WND,Wind,1958,megawatthours
363,2023-01-16T03,CAL,California,WND,Wind,1936,megawatthours
364,2023-01-16T04,CAL,California,WND,Wind,2036,megawatthours
365,2023-01-16T05,CAL,California,WND,Wind,2143,megawatthours
366,2023-01-16T06,CAL,California,WND,Wind,2377,megawatthours
367,2023-01-16T07,CAL,California,WND,Wind,2208,megawatthours
368,2023-01-16T08,CAL,California,WND,Wind,2104,megawatthours
369,2023-01-16T09,CAL,California,WND,Wind,2419,megawatthours
370,2023-01-16T10,CAL,California,WND,Wind,2816,megawatthours
371,2023-01-16T11,CAL,California,WND,Wind,3039,megawatthours
372,2023-01-16T12,CAL,California,WND,Wind,3162,megawatthours
373,2023-01-16T13,CAL,California,WND,Wind,2681,megawatthours
374,2023-01-16T14,CAL,California,WND,Wind,2516,megawatthours
375,2023-01-16T15,CAL,California,WND,Wind,2470,megawatthours
376,2023-01-16T16,CAL,California,WND,Wind,2521,megawatthours
377,2023-01-16T17,CAL,California,WND,Wind,2846,megawatthours
378,2023-01-16T18,CAL,California,WND,Wind,3665,megawatthours
379,2023-01-16T19,CAL,California,WND,Wind,3814,megawatthours
380,2023-01-16T20,CAL,California,WND,Wind,3657,megawatthours
381,2023-01-16T21,CAL,California,WND,Wind,3704,megawatthours
382,2023-01-16T22,CAL,California,WND,Wind,3586,megawatthours
383,2023-01-16T23,CAL,California,WND,Wind,3174,megawatthours
384,2023-01-17T00,CAL,California,WND,Wind,3083,megawatthours
385,2023-01-17T01,CAL,California,WND,Wind,3183,megawatthours
386,2023-01-17T02,CAL,California,WND,Wind,3154,megawatthours
387,2023-01-17T03,CAL,California,WND,Wind,3053,megawatthours
388,2023-01-17T04,CAL,California,WND,Wind,3233,megawatthours
389,2023-01-17T05,CAL,California,WND,Wind,3066,megawatthours
390,2023-01-17T06,CAL,California,WND,Wind,3093,megawatthours
391,2023-01-17T07,CAL,California,WND,Wind,2760,megawatthours
392,2023-01-17T08,CAL,California,WND,Wind,3121,megawatthours
393,2023-01-17T09,CAL,California,WND,Wind,3557,megawatthours
394,2023-01-17T10,CAL,California,WND,Wind,3680,megawatthours
395,2023-01-17T11,CAL,California,WND,Wind,3318,megawatthours
396,2023-01-17T12,CAL,California,WND,Wind,2931,megawatthours
397,2023-01-17T13,CAL,California,WND,Wind,2912,megawatthours
398,2023-01-17T14,CAL,California,WND,Wind,2929,megawatthours
399,2023-01-17T15,CAL,California,WND,Wind,3043,megawatthours
400,2023-01-17T16,CAL,California,WND,Wind,3142,megawatthours
401,2023-01-17T17,CAL,California,WND,Wind,3262,megawatthours
402,2023-01-17T18,CAL,California,WND,Wind,3115,megawatthours
403,2023-01-17T19,CAL,California,WND,Wind,2919,megawatthours
404,2023-01-17T20,CAL,California,WND,Wind,2654,megawatthours
405,2023-01-17T21,CAL,California,WND,Wind,2705,megawatthours
406,2023-01-17T22,CAL,California,WND,Wind,2672,megawatthours
407,2023-01-17T23,CAL,California,WND,Wind,2882,megawatthours
408,2023-01-18T00,CAL,California,WND,Wind,2667,megawatthours
409,2023-01-18T01,CAL,California,WND,Wind,2791,megawatthours
410,2023-01-18T02,CAL,California,WND,Wind,2767,megawatthours
411,2023-01-18T03,CAL,California,WND,Wind,2770,megawatthours
412,2023-01-18T04,CAL,California,WND,Wind,3069,megawatthours
413,2023-01-18T05,CAL,California,WND,Wind,3307,megawatthours
414,2023-01-18T06,CAL,California,WND,Wind,3033,megawatthours
415,2023-01-18T07,CAL,California,WND,Wind,2561,megawatthours
416,2023-01-18T08,CAL,California,WND,Wind,2072,megawatthours
417,2023-01-18T09,CAL,California,WND,Wind,1618,megawatthours
418,2023-01-18T10,CAL,California,WND,Wind,1370,megawatthours
419,2023-01-18T11,CAL,California,WND,Wind,1020,megawatthours
420,2023-01-18T12,CAL,California,WND,Wind,782,megawatthours
421,2023-01-18T13,CAL,California,WND,Wind,753,megawatthours
